gtin_upc,ingredients,description,brand_owner,brand_name,subbrand_name,branded_food_category
732153028593,"BEEF, BEEF LIVER, SEA SALT, BLACK PEPPER, ONION POWDER, CULTURED CELERY POWDER, GARLIC POWDER.","BEEF & BEEF LIVER BITES WITH SEA SALT, BEEF & BEEF LIVER WITH SEA SALT","General Mills, Inc.",EPIC,,Other Snacks
859686004594,DARK CHOCOLATE [CHOCOLATE++; SUGAR++; COCOA BUTTER++; MILK FAT; LECITHIN (SOY); VANILLA]; ALMONDS; SUNFLOWER OIL; SEA SALT.,DARK CHOCOLATE ALMOND & SEA SALT SNACKING CHOCOLATE,The Hershey Company,BARK THINS,,Chocolate
859686004006,DARK CHOCOLATE [CHOCOLATE++; SUGAR++; COCOA BUTTER++; MILK FAT; LECITHIN (SOY); VANILLA); ALMONDS; SUNFLOWER OIL; SEA SALT.,"ALMOND & SEA SALT DARK CHOCOLATE SNACKING CHOCOLATE, ALMOND & SEA SALT DARK CHOCOLATE",The Hershey Company,BARKTHINS,,Candy
12000101151,"BREWED STARBUCKS COFFEE (WATER, COFFEE), REDUCED-FAT MILK, SUGAR, MALTODEXTRIN, PECTIN, NATURAL FLAVOR","VANILLA CHILLED COFFEE DRINK, VANILLA",Pepsi-Cola North America Inc.,STARBUCKS,FRAPPUCCINO,Other Drinks
732153234017,"CHICKEN MEAT, SEA SALT, GARLIC, PAPRIKA, RED PEPPER, ONION, RED PEPPER, BLACK PEPPER, SALT, CUMIN, OREGANO.","SRIRACHA CHICKEN STRIP, SRIRACHA","General Mills, Inc.",EPIC,,Other Snacks
732153117372,"CHICKEN, COCONUT FLOUR, PINK HIMALAYAN SEA SALT, SEA SALT.","PINK HIMALAYAN + SEA SALT CHICKEN CRISPS, PINK HIMALAYAN + SEA SALT","General Mills, Inc.",EPIC,,Other Snacks
732153117389,"CHICKEN, COCONUT FLOUR, BLACK PEPPER, SEA SALT, ONION POWDER, GARLIC POWDER.","CRACKED PEPPER CHICKEN CRISPS, CRACKED PEPPER","General Mills, Inc.",EPIC,,Other Snacks
732153125384,"BISON, UNCURED BACON - NO NITRATES OR NITRITES ADDED+ (PORK, WATER, SEA SALT, BROWN SUGAR, VINEGAR, CELERY POWDER), DRIED CRANBERRIES (APPLE JUICE CONCENTRATE, CRANBERRIES), ENCAPSULATED LACTIC ACID**, CULTURED CELERY POWDER, SEA SALT.","BISON UNCURED BACON + CRANBERRY BARS, BISON UNCURED BACON + CRANBERRY","General Mills, Inc.",EPIC,,"Snack, Energy & Granola Bars"
732153241190,"BEEF, JALAPENO PEPPER, ENCAPSULATED LACTIC ACID**, SEA SALT, GARLIC POWDER, ONION POWDER, CULTURED CELERY POWDER, CILANTRO.","BEEF JALAPENO BAR, BEEF JALAPENO","General Mills, Inc.",EPIC,,"Snack, Energy & Granola Bars"
732153241220,"BEEF, ENCAPSULATED LACTIC ACID**, ONION POWDER GARLIC POWDER, SEA SALT, BLACK PEPPER, CULTURED CELERY POWDER.","BEEF SEA SALT + PEPPER BAR, BEEF SEA SALT + PEPPER","General Mills, Inc.",EPIC,,"Snack, Energy & Granola Bars"
732153248816,"VENISON, SEA SALT ENCAPSULATED LACTIC ACID**. WATER, BLACK PEPPER. CULTURED CELERY POWDER, ONION POWDER, GARLIC POWDER **NOT FROM MILK","VENISON SEA SALT + PEPPER BAR, VENISON SEA SALT + PEPPER","General Mills, Inc.",EPIC,,"Snack, Energy & Granola Bars"
732153248823,"BEEF, UNCURED SMOKED BACON - NO NITRATES OR NITRITES ADDED PORK. WATER. SEA SALT, VINEGAR, CELERY POWDER), DRIED APPLES, ENCAPSULATED LACTIC ACID**, CULTURED CELERY POWDER, SEA SALT.","BEEF APPLE + UNCURED BACON BAR, BEEF APPLE + UNCURED BACON","General Mills, Inc.",EPIC,,"Snack, Energy & Granola Bars"
34000217144,"SUGAR, CHOCOLATE, VEGETABLE OIL (PALM OIL, SHEA OIL, PALM KERNEL OIL, SUNFLOWER OIL, &/OR SAFFLOWER OIL), PEANUTS, COCOA BUTTER, MILK, LACTOSE (MILK), SKIM MILK, REDUCED PROTEIN WHEY (MILK), RICE FLOUR, CONTAINS 2% OR LESS OF: COCOA PROCESSED WITH ALKALI, MILK FAT, COCOA, LECITHIN (SOY). PGPR, MALT EXTRACT, MONOGLYCERIDES, SALT, NATURAL & ARTIFICIAL FLAVOR.","CHOCOLATE CANDY MINIATURES, CHOCOLATE",The Hershey Company,HERSHEY'S,,Chocolate
34000247172,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, SUGAR, DEXTROSE, SALT, TBHQ & CITRIC ACID (TO MAINTAIN FRESHNESS).","MILK CHOCOLATE & PEANUT BUTTER CUPS, MILK CHOCOLATE & PEANUT BUTTER",The Hershey Company,REESE'S,,Candy
34000250103,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, HIGH FRUCTOSE CORN SYRUP, SUGAR, DEXTROSE, SKIM MILK, CONTAINS 2% OR LESS OF: SORBITOL, DAIRY BUTTER (MILK), HYDROGENATED COCONUT OIL, GLYCERIN, SALT, NATURAL FLAVOR, MONO- AND DIGLYCERIDES, MOLASSES, BAKING SODA, LECITHIN (SOY), TBHQ & CITRIC ACID (TO MAINTAIN FRESHNESS), DISODIUM PHOSPHATE.","MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL BIG CUP, MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL",The Hershey Company,REESE'S,,Candy
34000252183,"MILK CHOCOLATE (SUGAR, COCOA BUTTER, CHOCOLATE, SKIM MILK, MILK FAT, LACTOSE, LECITHIN (SOY), PGPR), PEANUTS, HIGH FRUCTOSE CORN SYRUP, SUGAR, DEXTROSE, SKIM MILK, CONTAINS 2% OR LESS OF: SORBITOL, DAIRY BUTTER (MILK), HYDROGENATED COCONUT OIL, GLYCERIN, SALT, NATURAL FLAVOR, MONO- AND DIGLYCERIDES, MOLASSES, BAKING SODA, LECITHIN (SOY), TBHQ & CITRIC ACID (TO MAINTAIN FRESHNESS), DISODIUM PHOSPHATE.","MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL BIG CUP, MILK CHOCOLATE WITH PEANUT BUTTER & CARAMEL",The Hershey Company,REESE'S,,Candy
732153028609,"WILD CAUGHT SALMON, COCONUT OIL, MAPLE SUGAR, SEA SALT, DILL, ONION POWDER, GARLIC POWDER.","MAPLE GLAZED & SMOKED TENDER SALMON BITES, MAPLE GLAZED & SMOKED","General Mills, Inc.",EPIC,,Other Snacks
34000404063,"SUGAR, WHEAT FLOUR, COCOA BUTTER, CHOCOLATE LACTOSE (MILK), VEGETABLE OIL (PALM OIL, PALM KERNEL OIL) SKIM MILK, MILK FAT, CONTAINS 2% OR LESS OF: LECITHIN (SOY), PGPR, VANILLIN (ARTIFICIAL FLAVOR), SALT, YEAST, BAKING SODA.","CRISP WAFER IN MILK CHOCOLATE, CRISP WAFER",The Hershey Company,KIT KAT,,Cookies & Biscuits
34000404070,MILK CHOCOLATE [SUGAR; MILK; CHOCOLATE; COCOA BUTTER; MILK FAT; LECITHIN (SOY); PGPR; NATURAL FLAVOR].,"MILK CHOCOLATE CANDY, MILK CHOCOLATE",The Hershey Company,HERSHEY'S,,Chocolate
34000432752,"CORN SYRUP, ENRICHED WHEAT FLOUR (FLOUR, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), SUGAR, CORNSTARCH, CONTAINS 2% OR LESS OF: PALM OIL, NATURAL & ARTIFICIAL FLAVOR, SALT, CITRIC ACID, MINERAL OIL, ARTIFICIAL COLOR (RED 40, BLUE 1), LECITHIN (SOY).","WILD BERRY FLAVORED CANDY, WILD BERRY",The Hershey Company,TWIZZLERS,,Candy
